Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Series totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo virtual,2022-09-21 11:13:40,false,"Zwift - Race: STAGE 3: GET ROLLINGDouce France (D) on Douce France in France","24.50","341","00:48:57","--","--","0","0","30.0","44.6","133","--","0.00","0.0","0.0","0","82","96","123","0.0","128","118","197","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","48:56.60.2","1","0.0","00:48:47","00:48:57","10","34"
Ciclismo en sala,2022-09-21 11:11:42,false,"Ciclismo en sala","20.46","334","00:50:44","150","170","0","0","24.2","30.7","--","--","0.00","0.0","0.0","0","81","98","--","0.0","--","0","0","0.0","0.0","4139","0","0","0","--","0:00","0.0","0:00","No","50:44.02.9","1","0.0","00:50:40","00:50:45","--","--"
Ciclismo virtual,2022-09-20 11:01:00,false,"Zwift - Group Workout: Women Only | Long | FTP Short Blocks | ZA Road 2022 on The Fan Flats in Richmond","23.47","334","00:54:07","--","--","0","0","26.0","38.3","60","--","0.00","0.0","0.0","0","86","132","115","0.0","118","106","254","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:30.00","30","0.0","00:53:05","00:54:05","52","65"
Ciclismo en sala,2022-09-20 11:00:06,false,"Ciclismo en sala","23.82","337","00:53:52","150","171","0","0","26.5","38.2","--","--","0.00","0.0","0.0","0","87","172","--","0.0","--","0","0","0.0","0.0","4690","0","0","0","--","0:00","0.0","0:00","No","53:52.12.1","1","0.0","00:53:49","00:54:49","--","--"
Ciclismo en sala,2022-09-20 09:33:24,false,"Ciclismo en sala","15.38","230","00:40:14","141","168","0","0","22.9","26.5","--","--","0.00","0.0","0.0","0","85","102","--","0.0","--","0","0","0.0","0.0","3454","0","0","0","--","0:00","0.0","0:00","No","40:14.16.6","1","0.0","00:40:13","00:40:14","--","--"
Ciclismo virtual,2022-09-20 09:24:26,false,"Zwift - 10x1min MAP (Max Aerobic) in Watopia","18.31","253","00:49:10","--","--","0","0","22.3","62.1","156","--","0.00","0.0","0.0","0","83","100","106","0.0","96","89","182","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:11.00","23","0.0","00:49:05","00:49:10","-6","100"
Ciclismo virtual,2022-09-19 11:31:02,false,"Zwift - Group Workout: Women Only | Long | The Volcano | ZA Road 2022 on Beach Island Loop in Watopia","21.37","298","00:48:45","--","--","0","0","26.3","42.8","85","--","0.00","0.0","0.0","0","82","99","115","0.0","119","105","197","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:16.00","26","0.0","00:48:39","00:48:44","-6","16"
Ciclismo en sala,2022-09-19 11:30:24,false,"Ciclismo en sala","21.62","301","00:49:17","146","169","0","0","26.3","31.8","--","--","0.00","0.0","0.0","0","81","99","--","0.0","--","0","0","0.0","0.0","4036","0","0","0","--","0:00","0.0","0:00","No","49:16.58.9","1","0.0","00:49:14","00:49:37","--","--"
Ciclismo,2022-09-18 08:24:34,false,"El Retiro Ciclismo","51.28","1,033","02:40:34","160","185","0","0","19.2","50.9","832","846","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:40:34.48.1","1","0.0","02:40:04","03:12:12","2,112","2,600"
Ciclismo virtual,2022-09-16 11:29:26,false,"Zwift - The Long Ride - SST Long in Watopia","68.08","897","02:35:59","--","--","0","0","26.2","45.0","274","--","0.00","0.0","0.0","0","72","106","112","0.0","121","103","232","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:14.00","29","0.0","02:27:09","02:36:07","-6","20"
