Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Training Stress Score®,Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Cardio,2022-06-16 19:17:33,false,"Cardio","0.00","525","01:28:04","116","161","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:28:04.25","1","0.0","00:00:00","01:28:04","--","--"
Cardio,2022-06-15 19:37:52,false,"Cardio","0.00","510","01:24:57","113","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:24:56.83.1","1","0.0","00:00:00","01:24:57","--","--"
Cardio,2022-06-13 18:46:22,false,"Cardio","0.00","483","01:26:13","114","159","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:26:12.70.8","1","0.0","00:00:00","01:26:13","--","--"
Cardio,2022-06-09 19:04:41,false,"Cardio","0.00","627","01:41:23","121","157","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:41:22.72.3","1","0.0","00:00:00","01:41:23","--","--"
Cardio,2022-06-07 18:54:16,false,"Cardio","0.00","547","01:36:53","114","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:36:53.42.9","1","0.0","00:00:00","01:36:53","--","--"
Cardio,2022-06-06 19:04:14,false,"Cardio","0.00","626","01:28:44","125","161","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:28:44.23.2","1","0.0","00:00:00","01:28:44","--","--"
Caminar,2022-06-05 11:12:45,false,"Bogotá, D.C. Caminar","2.11","200","00:58:04","87","124","50","233","27:36","12:04","2","3","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:17.90.8","3","0.0","00:26:22","00:58:04","2,547","2,555"
Cardio,2022-06-01 19:23:48,false,"Cardio","0.00","530","01:24:27","116","158","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:24:27.32.3","1","0.0","00:00:00","01:24:27","--","--"
Caminar,2022-06-01 16:33:23,false,"Bogotá, D.C. Caminar","2.10","122","00:28:54","95","107","92","135","13:44","12:09","147","--","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:31.11.1","3","0.0","00:28:48","00:28:54","2,554","2,558"
Ciclismo,2022-05-30 06:12:58,false,"Guamo Ciclismo","75.63","1,475","03:07:21","139","165","0","0","24.2","43.0","554","573","0.00","0.0","0.0","0","65","104","0.0","0","0","0.0","0.0","10254","0","0","0","0:00","0.0","0:00","No","02:21.16.4","16","0.0","03:06:49","03:27:33","296","387"
Ciclismo,2022-05-29 06:43:31,false,"Guamo Ciclismo","43.08","795","02:11:39","117","146","0","0","19.6","37.0","164","175","0.00","0.0","0.0","0","57","94","0.0","0","0","0.0","0.0","6457","0","0","0","0:00","0.0","0:00","No","09:41.00.7","9","0.0","02:11:12","02:43:19","306","462"
Cardio,2022-05-26 19:03:44,false,"Cardio","0.00","552","01:30:53","118","164","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:30:53.29.1","1","0.0","00:00:00","01:30:53","--","--"
Cardio,2022-05-25 19:05:45,false,"Cardio","0.00","560","01:14:33","127","176","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:14:33.00.5","1","0.0","00:00:00","01:14:36","--","--"
Cardio,2022-05-23 19:16:36,false,"Cardio","0.00","689","01:24:21","134","163","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:24:21.33.2","1","0.0","00:00:00","01:24:21","--","--"
Cardio,2022-05-19 19:27:49,false,"Cardio","0.00","620","01:22:47","129","159","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:22:46.77.9","1","0.0","00:00:00","01:22:47","--","--"
Cardio,2022-05-18 19:08:52,false,"Cardio","0.00","563","01:15:58","131","175","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:15:57.55","1","0.0","00:00:00","01:15:58","--","--"
Cardio,2022-05-17 19:34:35,false,"Cardio","0.00","485","01:06:24","128","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:06:24.08.3","1","0.0","00:00:00","01:06:24","--","--"
Cardio,2022-05-16 19:05:07,false,"Cardio","0.00","677","01:32:50","130","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:32:49.58.2","1","0.0","00:00:00","01:32:50","--","--"
Cardio,2022-05-11 18:32:53,false,"Cardio","0.00","516","01:17:40","121","155","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:17:40.16.9","1","0.0","00:00:00","01:17:40","--","--"
Cardio,2022-05-10 18:36:38,false,"Cardio","0.00","649","01:50:14","119","159","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:50:14.27.2","1","0.0","00:00:00","01:50:14","--","--"
Cardio,2022-05-05 19:05:53,false,"Cardio","0.00","545","01:23:28","123","165","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:23:28.24.7","1","0.0","00:00:00","01:23:28","--","--"
