Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-08-03 05:30:45,false,"Cajicá - Intervalos Z5-Z2","47.26","692","01:40:56","128","154","2.9","0","0","28.1","47.5","168","176","0.00","0.0","0.0","0","67","115","131","64.2","131","95","697","0.0","0.0","6037","0","0","0","0:00","9.0","0:00","No","01:00.00","38","0.0","25","16","34","01:39:52","01:40:56","2,579","2,616"
Road Cycling,2022-08-02 05:12:53,false,"Cajicá - Resistencia variado","56.97","898","02:04:17","128","170","3.4","0","0","27.5","55.8","348","356","0.00","0.0","0.0","0","77","179","131","79.8","147","99","613","0.0","0.0","8349","0","0","0","0:00","10.0","0:00","No","04:16.55.8","9","0.0","25","14","37","02:03:43","02:04:17","2,565","2,744"
Road Cycling,2022-07-31 06:43:06,false,"Cajicá Road Cycling","111.61","2,691","05:48:16","141","189","5.0","0","0","19.2","68.2","2,243","2,189","0.00","0.0","0.0","0","70","183","146","266.9","191","109","619","0.0","0.0","18500","0","0","0","0:00","9.0","0:00","No","02:09.81.7","15","0.0","29","12","42","05:43:48","08:28:54","1,889","3,221"
Road Cycling,2022-07-30 07:06:35,false,"Cajicá - Resistencia en llano","52.36","1,091","02:32:47","142","195","4.5","0","0","20.6","52.3","754","741","0.00","0.0","0.0","0","68","153","139","107.2","174","97","626","0.0","0.0","8345","0","0","0","0:00","12.0","0:00","No","00:01.79.7","10","0.0","26","11","44","02:32:16","04:10:01","2,574","2,923"
Road Cycling,2022-07-29 06:08:17,false,"Cajicá - Tempo 2 x 20'","62.77","970","02:07:37","141","181","4.0","0","0","29.5","49.5","209","208","0.00","0.0","0.0","0","76","158","130","78.0","159","106","493","0.0","0.0","8608","0","0","0","0:00","10.0","0:00","No","02:36.89.5","12","0.0","27","11","41","02:03:06","02:08:15","2,578","2,630"
Road Cycling,2022-07-28 06:08:16,false,"Cajicá - Resistencia con montaña","43.99","942","02:04:04","144","189","4.7","0","0","21.3","55.4","718","725","0.00","0.0","0.0","0","65","169","153","98.9","185","105","525","0.0","0.0","6030","0","0","0","0:00","9.0","0:00","No","04:04.31.7","8","0.0","27","10","43","02:03:18","02:04:04","2,580","3,007"
Road Cycling,2022-07-27 05:59:14,false,"Cajicá - Resistencia en llano","56.94","899","01:55:53","126","158","3.0","0","0","29.5","54.0","199","206","0.00","0.0","0.0","0","69","156","128","64.7","140","107","492","0.0","0.0","7279","0","0","0","0:00","9.0","0:00","No","00:01.41.1","11","0.0","24","10","37","01:54:14","01:55:53","2,569","2,626"
Road Cycling,2022-07-19 06:32:39,false,"East Brunswick - Intervalos 2S 3x4' en Z5,5","72.05","1,350","02:54:29","0","0","2.2","0","0","24.8","56.2","552","553","0.00","0.0","0.0","0","67","149","144","122.8","143","108","656","0.0","0.0","9902","0","0","0","0:00","22.0","0:00","No","03:47.22.3","20","0.0","--","--","--","02:48:43","02:56:46","-4","87"
Road Cycling,2022-07-17 07:19:31,false,"East Brunswick Ciclismo en ruta","90.05","1,431","03:50:16","0","0","1.2","0","0","23.5","46.1","362","340","0.00","0.0","0.0","0","67","176","116","105.8","111","82","641","0.0","0.0","12804","0","0","0","0:00","21.0","0:00","No","05:02.93.2","12","0.0","--","--","--","03:49:37","04:33:11","-1","52"
Road Cycling,2022-07-15 06:47:54,false,"East Brunswick - Tempo 2 x 20'","59.30","1,065","02:27:45","120","156","3.0","0","0","24.1","55.7","451","441","0.00","0.0","0.0","0","68","152","134","90.4","134","99","704","0.0","0.0","8154","0","0","0","0:00","20.0","0:00","No","00:02.06.3","14","0.0","23","13","33","02:16:18","02:31:42","-3","91"
